"","Date","ILI Total"
"220","12/9/07",73051
"221","12/16/07",76471
"222","12/23/07",85001
"223","12/30/07",96439
"224","1/6/08",97263
"225","1/13/08",100493
"226","1/20/08",133177
"227","1/27/08",188467
"228","2/3/08",251692
"229","2/10/08",283525
"230","2/17/08",314315
"231","2/24/08",281411
"232","3/2/08",219176
"233","3/9/08",171889
"234","3/16/08",137425
"235","3/23/08",114095
"236","3/30/08",94609
"237","4/6/08",79499
"238","4/13/08",69263
"239","4/20/08",61108
"240","4/27/08",54582
"241","5/4/08",48974
"242","5/11/08",46030
"243","5/18/08",43357
"244","5/25/08",40354
"245","6/1/08",37697
"246","6/8/08",35183
"247","6/15/08",33781
"248","6/22/08",32032
"249","6/29/08",30772
"250","7/6/08",30322
"251","7/13/08",29215
"252","7/20/08",28136
"253","7/27/08",27785
"254","8/3/08",27912
"255","8/10/08",28713
"256","8/17/08",29316
"257","8/24/08",30984
"258","8/31/08",34731
"259","9/7/08",39026
"260","9/14/08",42951
"261","9/21/08",47847
"262","9/28/08",51585
"263","10/5/08",55185
"264","10/12/08",58450
"265","10/19/08",64376
"266","10/26/08",71350
"267","11/2/08",76660
"268","11/9/08",87214
"269","11/16/08",90678
"270","11/23/08",82546
"271","11/30/08",91169
"272","12/7/08",88078
"273","12/14/08",83771
"274","12/21/08",85991
"275","12/28/08",90087
"276","1/4/09",84975
"277","1/11/09",80786
"278","1/18/09",86262
"279","1/25/09",98230
"280","2/1/09",122082
"281","2/8/09",142074
"282","2/15/09",150071
"283","2/22/09",155972
"284","3/1/09",153189
"285","3/8/09",132521
"286","3/15/09",115337
"287","3/22/09",98792
"288","3/29/09",81248
"289","4/5/09",68678
"290","4/12/09",62566
"291","4/19/09",61832
"292","4/26/09",150053
"293","5/3/09",105637
"294","5/10/09",86310
"295","5/17/09",80559
"296","5/24/09",71856
"297","5/31/09",66547
"298","6/7/09",68177
"299","6/14/09",67571
"300","6/21/09",62730
"301","6/28/09",59011
"302","7/5/09",57036
"303","7/12/09",54565
"304","7/19/09",51089
"305","7/26/09",50277
"306","8/2/09",49086
"307","8/9/09",49921
"308","8/16/09",57356
"309","8/23/09",77731
"310","8/30/09",113315
"311","9/6/09",161367
"312","9/13/09",186011
"313","9/20/09",210545
"314","9/27/09",249391
"315","10/4/09",289859
"316","10/11/09",337574
"317","10/18/09",383224
"318","10/25/09",340156
"319","11/1/09",295512
"320","11/8/09",223532
"321","11/15/09",174005
"322","11/22/09",129229
"323","11/29/09",119085
"324","12/6/09",101160
"325","12/13/09",93297
"326","12/20/09",92783
"327","12/27/09",99048
"328","1/3/10",96468
"329","1/10/10",86477
"330","1/17/10",84452
"331","1/24/10",83959
"332","1/31/10",86882
"333","2/7/10",87889
"334","2/14/10",92100
"335","2/21/10",92305
"336","2/28/10",89336
"337","3/7/10",84557
"338","3/14/10",76436
"339","3/21/10",70034
"340","3/28/10",63290
"341","4/4/10",57614
"342","4/11/10",51693
"343","4/18/10",50335
"344","4/25/10",50812
"345","5/2/10",48537
"346","5/9/10",46988
"347","5/16/10",45777
"348","5/23/10",43937
"349","5/30/10",42523
"350","6/6/10",39040
"351","6/13/10",36804
"352","6/20/10",35007
"353","6/27/10",33791
"354","7/4/10",32797
"355","7/11/10",32134
"356","7/18/10",31416
"357","7/25/10",31086
"358","8/1/10",31023
"359","8/8/10",31100
"360","8/15/10",32003
"361","8/22/10",34009
"362","8/29/10",36984
"363","9/5/10",41614
"364","9/12/10",47941
"365","9/19/10",52807
"366","9/26/10",55885
"367","10/3/10",61119
"368","10/10/10",62723
"369","10/17/10",68222
"370","10/24/10",70692
"371","10/31/10",75901
"372","11/7/10",79183
"373","11/14/10",83066
"374","11/21/10",76382
"375","11/28/10",85949
"376","12/5/10",86743
"377","12/12/10",95541
"378","12/19/10",117139
"379","12/26/10",133678
"380","1/2/11",135049
"381","1/9/11",125930
"382","1/16/11",144485
"383","1/23/11",171855
"384","1/30/11",176898
"385","2/6/11",187509
"386","2/13/11",204587
"387","2/20/11",183719
"388","2/27/11",155329
"389","3/6/11",130128
"390","3/13/11",109020
"391","3/20/11",89216
"392","3/27/11",78254
"393","4/3/11",68975
"394","4/10/11",60051
"395","4/17/11",54391
"396","4/24/11",50028
"397","5/1/11",46843
"398","5/8/11",44465
"399","5/15/11",42509
"400","5/22/11",39984
"401","5/29/11",38678
"402","6/5/11",36529
"403","6/12/11",34019
"404","6/19/11",32510
"405","6/26/11",30392
"406","7/3/11",28988
"407","7/10/11",27824
"408","7/17/11",27030
"409","7/24/11",26348
"410","7/31/11",25988
"411","8/7/11",25694
"412","8/14/11",26115
"413","8/21/11",28545
"414","8/28/11",32487
"415","9/4/11",37709
"416","9/11/11",45292
"417","9/18/11",55212
"418","9/25/11",62790
"419","10/2/11",67455
"420","10/9/11",70392
"421","10/16/11",69579
"422","10/23/11",72159
"423","10/30/11",77351
"424","11/6/11",78938
"425","11/13/11",82951
"426","11/20/11",80095
"427","11/27/11",88346
"428","12/4/11",87196
"429","12/11/11",92950
"430","12/18/11",106434
"431","12/25/11",126940
"432","1/1/12",126853
"433","1/8/12",111765
"434","1/15/12",107969
"435","1/22/12",111217
"436","1/29/12",113666
"437","2/5/12",107907
"438","2/12/12",114410
"439","2/19/12",125576
"440","2/26/12",120951
"441","3/4/12",124251
"442","3/11/12",122979
"443","3/18/12",103293
"444","3/25/12",93180
"445","4/1/12",86472
"446","4/8/12",88163
"447","4/15/12",87562
"448","4/22/12",84712
"449","4/29/12",77908
"450","5/6/12",74884
"451","5/13/12",72455
"452","5/20/12",68962
"453","5/27/12",63224
"454","6/3/12",58308
"455","6/10/12",55567
"456","6/17/12",50387
"457","6/24/12",43205
"458","7/1/12",39977
"459","7/8/12",40088
"460","7/15/12",38398
"461","7/22/12",36887
"462","7/29/12",36300
"463","8/5/12",37228
"464","8/12/12",40014
"465","8/19/12",44658
"466","8/26/12",49627
"467","9/2/12",56965
"468","9/9/12",64497
"469","9/16/12",72542
"470","9/23/12",81975
"471","9/30/12",90753
"472","10/7/12",102597
"473","10/14/12",107912
"474","10/21/12",108788
"475","10/28/12",110193
"476","11/4/12",115758
"477","11/11/12",134575
"478","11/18/12",145406
"479","11/25/12",172185
"480","12/2/12",212606
"481","12/9/12",246535
"482","12/16/12",322318
"483","12/23/12",410028
"484","12/30/12",448807
"485","1/6/13",584872
"486","1/13/13",629985
"487","1/20/13",514759
"488","1/27/13",387950
"489","2/3/13",294372
"490","2/10/13",234941
"491","2/17/13",213980
"492","2/24/13",189709
"493","3/3/13",173796
"494","3/10/13",159469
"495","3/17/13",138641
"496","3/24/13",127956
"497","3/31/13",118222
"498","4/7/13",100067
"499","4/14/13",82502
"500","4/21/13",79470
"501","4/28/13",72523
"502","5/5/13",68226
"503","5/12/13",60436
"504","5/19/13",54103
"505","5/26/13",51991
"506","6/2/13",48169
"507","6/9/13",45406
"508","6/16/13",43959
"509","6/23/13",41875
"510","6/30/13",40405
"511","7/7/13",40275
"512","7/14/13",39132
"513","7/21/13",40591
"514","7/28/13",37499
"515","8/4/13",37610
"516","8/11/13",39383
"517","8/18/13",40770
"518","8/25/13",42977
"519","9/1/13",48128
"520","9/8/13",50883
"521","9/15/13",54482
"522","9/22/13",59919
"523","9/29/13",59186
"524","10/6/13",61446
"525","10/13/13",58410
"526","10/20/13",62882
"527","10/27/13",64904
"528","11/3/13",68751
"529","11/10/13",72164
"530","11/17/13",74003
"531","11/24/13",79158
"532","12/1/13",92342
"533","12/8/13",101156
"534","12/15/13",154782
"535","12/22/13",227741
"536","12/29/13",244629
"537","1/5/14",225143
"538","1/12/14",217401
"539","1/19/14",192419
"540","1/26/14",162684
"541","2/2/14",136771
"542","2/9/14",117182
"543","2/16/14",104947
"544","2/23/14",94080
"545","3/2/14",85609
"546","3/9/14",78494
"547","3/16/14",76078
"548","3/23/14",77204
"549","3/30/14",74330
"550","4/6/14",75684
"551","4/13/14",70745
"552","4/20/14",68483
"553","4/27/14",64257
"554","5/4/14",61665
"555","5/11/14",61076
"556","5/18/14",58760
"557","5/25/14",59321
"558","6/1/14",52763
"559","6/8/14",49852
"560","6/15/14",47929
"561","6/22/14",45166
"562","6/29/14",44021
"563","7/6/14",43976
