"Date","ILI Total"
"8/16/09",57356
"8/23/09",77731
"8/30/09",113315
"9/6/09",161367
"9/13/09",186011
"9/20/09",210545
"9/27/09",249391
"10/4/09",289859
"10/11/09",337574
"10/18/09",383224
"10/25/09",340156
"11/1/09",295512
"11/8/09",223532
"11/15/09",174005
"11/22/09",129229
"11/29/09",119085
"12/6/09",101160
"12/13/09",93297
"12/20/09",92783
"12/27/09",99048
"1/3/10",96468
"1/10/10",86477
"1/17/10",84452
"1/24/10",83959
"1/31/10",86882
"2/7/10",87889
"2/14/10",92100
"2/21/10",92305
"2/28/10",89336
"3/7/10",84557
"3/14/10",76436
"3/21/10",70034
"3/28/10",63290
"4/4/10",57614
"4/11/10",51693
"4/18/10",50335
"4/25/10",50812
"5/2/10",48537
"5/9/10",46988
"5/16/10",45777
"5/23/10",43937
"5/30/10",42523
"6/6/10",39040
"6/13/10",36804
"6/20/10",35007
"6/27/10",33791
"7/4/10",32797
"7/11/10",32134
"7/18/10",31416
"7/25/10",31086
"8/1/10",31023
"8/8/10",31100
"8/15/10",32003
"8/22/10",34009
"8/29/10",36984
"9/5/10",41614
"9/12/10",47941
"9/19/10",52807
"9/26/10",55885
"10/3/10",61119
"10/10/10",62723
"10/17/10",68222
"10/24/10",70692
"10/31/10",75901
"11/7/10",79183
"11/14/10",83066
"11/21/10",76382
"11/28/10",85949
"12/5/10",86743
"12/12/10",95541
"12/19/10",117139
"12/26/10",133678
"1/2/11",135049
"1/9/11",125930
"1/16/11",144485
"1/23/11",171855
"1/30/11",176898
"2/6/11",187509
"2/13/11",204587
"2/20/11",183719
"2/27/11",155329
"3/6/11",130128
"3/13/11",109020
"3/20/11",89216
"3/27/11",78254
"4/3/11",68975
"4/10/11",60051
"4/17/11",54391
"4/24/11",50028
"5/1/11",46843
"5/8/11",44465
"5/15/11",42509
"5/22/11",39984
"5/29/11",38678
"6/5/11",36529
"6/12/11",34019
"6/19/11",32510
"6/26/11",30392
"7/3/11",28988
"7/10/11",27824
"7/17/11",27030
"7/24/11",26348
"7/31/11",25988
"8/7/11",25694
"8/14/11",26115
"8/21/11",28545
"8/28/11",32487
"9/4/11",37709
"9/11/11",45292
"9/18/11",55212
"9/25/11",62790
"10/2/11",67455
"10/9/11",70392
"10/16/11",69579
"10/23/11",72159
"10/30/11",77351
"11/6/11",78938
"11/13/11",82951
"11/20/11",80095
"11/27/11",88346
"12/4/11",87196
"12/11/11",92950
"12/18/11",106434
"12/25/11",126940
"1/1/12",126853
"1/8/12",111765
"1/15/12",107969
"1/22/12",111217
"1/29/12",113666
"2/5/12",107907
"2/12/12",114410
"2/19/12",125576
"2/26/12",120951
"3/4/12",124251
"3/11/12",122979
"3/18/12",103293
"3/25/12",93180
"4/1/12",86472
"4/8/12",88163
"4/15/12",87562
"4/22/12",84712
"4/29/12",77908
"5/6/12",74884
"5/13/12",72455
"5/20/12",68962
"5/27/12",63224
"6/3/12",58308
"6/10/12",55567
"6/17/12",50387
"6/24/12",43205
"7/1/12",39977
"7/8/12",40088
"7/15/12",38398
"7/22/12",36887
"7/29/12",36300
"8/5/12",37228
"8/12/12",40014
"8/19/12",44658
"8/26/12",49627
"9/2/12",56965
"9/9/12",64497
"9/16/12",72542
"9/23/12",81975
"9/30/12",90753
"10/7/12",102597
"10/14/12",107912
"10/21/12",108788
"10/28/12",110193
"11/4/12",115758
"11/11/12",134575
"11/18/12",145406
"11/25/12",172185
"12/2/12",212606
"12/9/12",246535
"12/16/12",322318
"12/23/12",410028
"12/30/12",448807
"1/6/13",584872
"1/13/13",629985
"1/20/13",514759
"1/27/13",387950
"2/3/13",294372
"2/10/13",234941
"2/17/13",213980
"2/24/13",189709
"3/3/13",173796
"3/10/13",159469
"3/17/13",138641
"3/24/13",127956
"3/31/13",118222
"4/7/13",100067
"4/14/13",82502
"4/21/13",79470
"4/28/13",72523
"5/5/13",68226
"5/12/13",60436
"5/19/13",54103
"5/26/13",51991
"6/2/13",48169
"6/9/13",45406
"6/16/13",43959
"6/23/13",41875
"6/30/13",40405
"7/7/13",40275
"7/14/13",39132
"7/21/13",40591
"7/28/13",37499
"8/4/13",37610
"8/11/13",39383
"8/18/13",40770
"8/25/13",42977
"9/1/13",48128
"9/8/13",50883
"9/15/13",54482
"9/22/13",59919
"9/29/13",59186
"10/6/13",61446
"10/13/13",58410
"10/20/13",62882
"10/27/13",64904
"11/3/13",68751
"11/10/13",72164
"11/17/13",74003
"11/24/13",79158
"12/1/13",92342
"12/8/13",101156
"12/15/13",154782
"12/22/13",227741
"12/29/13",244629
"1/5/14",225143
"1/12/14",217401
"1/19/14",192419
"1/26/14",162684
"2/2/14",136771
"2/9/14",117182
"2/16/14",104947
"2/23/14",94080
"3/2/14",85609
"3/9/14",78494
"3/16/14",76078
"3/23/14",77204
"3/30/14",74330
"4/6/14",75684
"4/13/14",70745
"4/20/14",68483
"4/27/14",64257
"5/4/14",61665
"5/11/14",61076
"5/18/14",58760
"5/25/14",59321
"6/1/14",52763
"6/8/14",49852
"6/15/14",47929
"6/22/14",45166
"6/29/14",44021
"7/6/14",43976
